2021-08-26,,,
2021-08-28,토,16:10,"28,400"
2021-08-28,토,15:30,"28,900"
2021-08-28,토,17:30,"28,900"
2021-08-29,일,15:00,"22,300"
2021-08-29,일,7:25,"24,300"
2021-08-29,일,7:35,"24,300"
2021-08-30,월,17:25,"18,700"
2021-08-30,월,16:00,"19,700"
2021-08-30,월,8:40,"20,700"
2021-08-31,화,7:35,"20,300"
2021-08-31,화,8:05,"20,300"
2021-08-31,화,8:40,"20,700"
2021-09-01,수,16:00,"20,700"
2021-09-01,수,8:40,"22,700"
2021-09-01,수,16:00,"22,700"
2021-08-29,,,
2021-08-31,화,7:25,"17,400"
2021-08-31,화,7:35,"18,300"
2021-08-31,화,8:40,"18,700"
2021-09-01,수,16:00,"18,700"
2021-09-01,수,16:25,"20,300"
2021-09-01,수,7:35,"22,300"
2021-09-02,목,16:00,"19,700"
2021-09-02,목,16:25,"20,300"
2021-09-02,목,8:40,"20,700"
2021-09-03,금,6:25,"21,400"
2021-09-03,금,8:40,"21,800"
2021-09-03,금,7:35,"22,300"
2021-09-04,토,19:35,"29,300"
2021-09-04,토,16:00,"29,800"
2021-09-04,토,16:25,"30,300"
2021-08-30
2021-09-01,수,16:00,"18,700"
2021-09-01,수,16:25,"20,300"
2021-09-01,수,07:35,"22,300"
2021-09-02,목,16:25,"20,300"
2021-09-02,목,08:40,"20,700"
2021-09-02,목,16:00,"20,700"
2021-09-03,금,06:25,"21,400"
2021-09-03,금,08:40,"21,800"
2021-09-03,금,07:35,"22,300"
2021-09-04,토,19:35,"29,300"
2021-09-04,토,16:00,"29,800"
2021-09-04,토,16:25,"30,300"
2021-09-05,일,13:55,"21,800"
2021-09-05,일,07:35,"24,300"
2021-09-05,일,13:30,"24,300"
2021-08-31
2021-09-02,목,07:25,"21,400"
2021-09-02,목,07:30,"21,940"
2021-09-02,목,07:35,"22,300"
2021-09-03,금,06:25,"21,400"
2021-09-03,금,07:35,"22,300"
2021-09-03,금,08:25,"22,400"
2021-09-04,토,16:10,"26,400"
2021-09-04,토,16:00,"26,800"
2021-09-04,토,16:30,"28,120"
2021-09-05,일,13:55,"21,800"
2021-09-05,일,07:25,"22,400"
2021-09-05,일,07:35,"24,300"
2021-09-06,월,08:40,"20,700"
2021-09-06,월,18:35,"22,300"
2021-09-06,월,19:35,"22,300"
2021-09-01
2021-09-03,금,06:25,"16,400"
2021-09-03,금,08:25,"22,400"
2021-09-03,금,09:35,"22,400"
2021-09-04,토,16:00,"25,900"
2021-09-04,토,15:20,"26,400"
2021-09-04,토,16:10,"26,400"
2021-09-05,일,07:25,"22,400"
2021-09-05,일,08:40,"22,900"
2021-09-05,일,08:25,"24,400"
2021-09-06,월,06:25,"21,300"
2021-09-06,월,08:25,"21,300"
2021-09-06,월,18:35,"22,300"
2021-09-07,화,07:25,"21,300"
2021-09-07,화,10:35,"22,300"
2021-09-07,화,08:25,"22,400"
2021-09-02
2021-09-04,토,16:25,"27,400"
2021-09-04,토,16:00,"27,900"
2021-09-04,토,16:35,"29,400"
2021-09-05,일,08:40,"22,900"
2021-09-05,일,10:40,"25,900"
2021-09-05,일,13:55,"25,900"
2021-09-06,월,17:55,"21,800"
2021-09-06,월,06:25,"22,300"
2021-09-06,월,10:40,"23,800"
2021-09-07,화,07:25,"22,300"
2021-09-07,화,10:35,"22,300"
2021-09-07,화,08:25,"22,400"
2021-09-08,수,07:25,"21,300"
2021-09-08,수,07:35,"21,400"
2021-09-08,수,08:25,"23,300"
2021-09-03
2021-09-05,일,08:40,"25,900"
2021-09-05,일,09:30,"26,100"
2021-09-05,일,07:25,"26,300"
2021-09-06,월,17:55,"21,800"
2021-09-06,월,10:40,"23,800"
2021-09-06,월,12:40,"23,800"
2021-09-07,화,10:35,"22,300"
2021-09-07,화,08:25,"22,400"
2021-09-07,화,08:30,"23,040"
2021-09-08,수,07:25,"22,300"
2021-09-08,수,07:35,"23,400"
2021-09-08,수,10:40,"23,800"
2021-09-09,목,07:25,"25,300"
2021-09-09,목,07:35,"25,400"
2021-09-09,목,12:40,"25,800"
